"Date","Price","Open","High","Low","Vol.","Change %"
"04-05-2017","12,659.51","12,659.51","12,659.51","12,659.51","","0.52%"
"03-05-2017","12,593.58","12,593.58","12,593.58","12,593.58","","-0.02%"
"02-05-2017","12,596.08","12,596.08","12,596.08","12,596.08","","0.10%"
"28-04-2017","12,582.88","12,582.88","12,582.88","12,582.88","","-0.41%"
"27-04-2017","12,634.41","12,634.41","12,634.41","12,634.41","","-0.10%"
"26-04-2017","12,647.53","12,647.53","12,647.53","12,647.53","","0.49%"
"25-04-2017","12,586.34","12,586.34","12,586.34","12,586.34","","0.96%"
"24-04-2017","12,466.46","12,466.46","12,466.46","12,466.46","","1.08%"
"21-04-2017","12,333.17","12,333.17","12,333.17","12,333.17","","-0.19%"
"20-04-2017","12,356.20","12,356.20","12,356.20","12,356.20","","0.36%"
"19-04-2017","12,311.67","12,311.67","12,311.67","12,311.67","","-0.02%"
"18-04-2017","12,313.90","12,313.90","12,313.90","12,313.90","","-0.37%"
"17-04-2017","12,360.11","12,360.11","12,360.11","12,360.11","","-0.13%"
"13-04-2017","12,375.68","12,375.68","12,375.68","12,375.68","","-0.57%"
"12-04-2017","12,446.84","12,446.84","12,446.84","12,446.84","","-0.36%"
"11-04-2017","12,492.24","12,492.24","12,492.24","12,492.24","","0.61%"
"10-04-2017","12,417.07","12,417.07","12,417.07","12,417.07","","-0.18%"
"07-04-2017","12,439.90","12,439.90","12,439.90","12,439.90","","-0.69%"
"06-04-2017","12,525.97","12,525.97","12,525.97","12,525.97","","-0.03%"
"05-04-2017","12,530.31","12,530.31","12,530.31","12,530.31","","0.30%"
"03-04-2017","12,493.39","12,493.39","12,493.39","12,493.39","","0.70%"
"31-03-2017","12,406.69","12,406.69","12,406.69","12,406.69","","0.02%"
"30-03-2017","12,404.41","12,404.41","12,404.41","12,404.41","","0.33%"
"29-03-2017","12,363.95","12,363.95","12,363.95","12,363.95","","0.47%"
"28-03-2017","12,305.77","12,305.77","12,305.77","12,305.77","","0.61%"
"27-03-2017","12,230.63","12,230.63","12,230.63","12,230.63","","-0.68%"
"24-03-2017","12,314.98","12,314.98","12,314.98","12,314.98","","0.26%"
"23-03-2017","12,283.35","12,283.35","12,283.35","12,283.35","","0.62%"
"22-03-2017","12,207.85","12,207.85","12,207.85","12,207.85","","-1.00%"
"21-03-2017","12,330.92","12,330.92","12,330.92","12,330.92","","-0.06%"
"20-03-2017","12,338.14","12,338.14","12,338.14","12,338.14","","-0.36%"
"17-03-2017","12,383.04","12,383.04","12,383.04","12,383.04","","0.07%"
"16-03-2017","12,374.48","12,374.48","12,374.48","12,374.48","","0.78%"
"15-03-2017","12,278.23","12,278.23","12,278.23","12,278.23","","-0.02%"
"14-03-2017","12,281.22","12,281.22","12,281.22","12,281.22","","1.78%"
"10-03-2017","12,066.40","12,066.40","12,066.40","12,066.40","","0.08%"
"09-03-2017","12,056.17","12,056.17","12,056.17","12,056.17","","0.04%"
"08-03-2017","12,050.77","12,050.77","12,050.77","12,050.77","","-0.25%"
"07-03-2017","12,081.34","12,081.34","12,081.34","12,081.34","","-0.18%"
"06-03-2017","12,103.68","12,103.68","12,103.68","12,103.68","","0.74%"
"03-03-2017","12,014.70","12,014.70","12,014.70","12,014.70","","-0.02%"
"02-03-2017","12,017.63","12,017.63","12,017.63","12,017.63","","-0.51%"
"01-03-2017","12,079.80","12,079.80","12,079.80","12,079.80","","0.75%"
"28-02-2017","11,990.44","11,990.44","11,990.44","11,990.44","","-0.16%"
"27-02-2017","12,009.80","12,009.80","12,009.80","12,009.80","","-0.48%"
"23-02-2017","12,067.61","12,067.61","12,067.61","12,067.61","","0.14%"
"22-02-2017","12,050.54","12,050.54","12,050.54","12,050.54","","0.21%"
"21-02-2017","12,024.88","12,024.88","12,024.88","12,024.88","","0.32%"
"20-02-2017","11,986.21","11,986.21","11,986.21","11,986.21","","0.65%"
"17-02-2017","11,908.56","11,908.56","11,908.56","11,908.56","","0.50%"
"16-02-2017","11,849.55","11,849.55","11,849.55","11,849.55","","0.62%"
"15-02-2017","11,776.57","11,776.57","11,776.57","11,776.57","","-0.75%"
"14-02-2017","11,865.43","11,865.43","11,865.43","11,865.43","","-0.14%"
"13-02-2017","11,882.38","11,882.38","11,882.38","11,882.38","","0.13%"
"10-02-2017","11,866.82","11,866.82","11,866.82","11,866.82","","0.17%"
"09-02-2017","11,846.42","11,846.42","11,846.42","11,846.42","","0.11%"
"08-02-2017","11,833.80","11,833.80","11,833.80","11,833.80","","0.01%"
"07-02-2017","11,832.78","11,832.78","11,832.78","11,832.78","","-0.35%"
"06-02-2017","11,874.73","11,874.73","11,874.73","11,874.73","","0.69%"
"03-02-2017","11,793.62","11,793.62","11,793.62","11,793.62","","0.08%"
"02-02-2017","11,784.61","11,784.61","11,784.61","11,784.61","","0.22%"
"01-02-2017","11,758.63","11,758.63","11,758.63","11,758.63","","1.82%"
"31-01-2017","11,548.15","11,548.15","11,548.15","11,548.15","","-0.83%"
"30-01-2017","11,644.53","11,644.53","11,644.53","11,644.53","","-0.10%"
"27-01-2017","11,656.00","11,656.00","11,656.00","11,656.00","","0.45%"
"25-01-2017","11,604.09","11,604.09","11,604.09","11,604.09","","1.50%"
"24-01-2017","11,432.83","11,432.83","11,432.83","11,432.83","","1.00%"
"23-01-2017","11,319.09","11,319.09","11,319.09","11,319.09","","0.52%"
"20-01-2017","11,260.99","11,260.99","11,260.99","11,260.99","","-1.02%"
"19-01-2017","11,376.62","11,376.62","11,376.62","11,376.62","","0.21%"
"18-01-2017","11,352.22","11,352.22","11,352.22","11,352.22","","0.23%"
"17-01-2017","11,326.62","11,326.62","11,326.62","11,326.62","","-0.18%"
"16-01-2017","11,346.57","11,346.57","11,346.57","11,346.57","","0.15%"
"13-01-2017","11,329.78","11,329.78","11,329.78","11,329.78","","-0.08%"
"12-01-2017","11,339.04","11,339.04","11,339.04","11,339.04","","0.32%"
"11-01-2017","11,303.19","11,303.19","11,303.19","11,303.19","","1.11%"
"10-01-2017","11,179.04","11,179.04","11,179.04","11,179.04","","0.64%"
"09-01-2017","11,108.20","11,108.20","11,108.20","11,108.20","","-0.09%"
"06-01-2017","11,118.62","11,118.62","11,118.62","11,118.62","","-0.36%"
"05-01-2017","11,159.12","11,159.12","11,159.12","11,159.12","","1.02%"
"04-01-2017","11,046.76","11,046.76","11,046.76","11,046.76","","-0.02%"
"03-01-2017","11,049.08","11,049.08","11,049.08","11,049.08","","0.16%"
"02-01-2017","11,031.91","11,031.91","11,031.91","11,031.91","","-0.08%"
"30-12-2016","11,040.41","11,040.41","11,040.41","11,040.41","","1.01%"
"29-12-2016","10,929.53","10,929.53","10,929.53","10,929.53","","0.86%"
"28-12-2016","10,836.85","10,836.85","10,836.85","10,836.85","","0.03%"
"27-12-2016","10,834.12","10,834.12","10,834.12","10,834.12","","1.58%"
"26-12-2016","10,666.06","10,666.06","10,666.06","10,666.06","","-0.97%"
"23-12-2016","10,770.60","10,770.60","10,770.60","10,770.60","","0.08%"
"22-12-2016","10,761.65","10,761.65","10,761.65","10,761.65","","-1.02%"
"21-12-2016","10,872.49","10,872.49","10,872.49","10,872.49","","-0.26%"
"20-12-2016","10,900.96","10,900.96","10,900.96","10,900.96","","-0.27%"
"19-12-2016","10,930.55","10,930.55","10,930.55","10,930.55","","-0.43%"
"16-12-2016","10,977.91","10,977.91","10,977.91","10,977.91","","-0.17%"
"15-12-2016","10,997.01","10,997.01","10,997.01","10,997.01","","-0.35%"
"14-12-2016","11,035.88","11,035.88","11,035.88","11,035.88","","-0.48%"
"13-12-2016","11,088.99","11,088.99","11,088.99","11,088.99","","0.62%"
"12-12-2016","11,020.15","11,020.15","11,020.15","11,020.15","","-1.10%"
"09-12-2016","11,142.82","11,142.82","11,142.82","11,142.82","","0.18%"
"08-12-2016","11,122.75","11,122.75","11,122.75","11,122.75","","1.79%"
"07-12-2016","10,927.43","10,927.43","10,927.43","10,927.43","","-0.50%"
"06-12-2016","10,982.89","10,982.89","10,982.89","10,982.89","","0.18%"
"05-12-2016","10,963.49","10,963.49","10,963.49","10,963.49","","0.52%"
"02-12-2016","10,906.86","10,906.86","10,906.86","10,906.86","","-1.30%"
"01-12-2016","11,050.00","11,050.00","11,050.00","11,050.00","","-0.38%"
"30-11-2016","11,092.59","11,092.59","11,092.59","11,092.59","","1.01%"
"29-11-2016","10,981.54","10,981.54","10,981.54","10,981.54","","0.19%"
"28-11-2016","10,960.97","10,960.97","10,960.97","10,960.97","","0.16%"
"25-11-2016","10,943.99","10,943.99","10,943.99","10,943.99","","1.87%"
"24-11-2016","10,743.28","10,743.28","10,743.28","10,743.28","","-0.84%"
"23-11-2016","10,834.59","10,834.59","10,834.59","10,834.59","","0.39%"
"22-11-2016","10,792.82","10,792.82","10,792.82","10,792.82","","0.92%"
"21-11-2016","10,694.09","10,694.09","10,694.09","10,694.09","","-1.80%"
"18-11-2016","10,889.64","10,889.64","10,889.64","10,889.64","","-0.07%"
"17-11-2016","10,897.55","10,897.55","10,897.55","10,897.55","","-0.39%"
"16-11-2016","10,940.23","10,940.23","10,940.23","10,940.23","","0.04%"
"15-11-2016","10,935.99","10,935.99","10,935.99","10,935.99","","-2.26%"
"11-11-2016","11,189.30","11,189.30","11,189.30","11,189.30","","-2.69%"
"10-11-2016","11,498.79","11,498.79","11,498.79","11,498.79","","1.11%"
"09-11-2016","11,372.35","11,372.35","11,372.35","11,372.35","","-1.31%"
"08-11-2016","11,522.76","11,522.76","11,522.76","11,522.76","","0.55%"
"07-11-2016","11,460.08","11,460.08","11,460.08","11,460.08","","0.75%"
"04-11-2016","11,374.71","11,374.71","11,374.71","11,374.71","","-0.60%"
"03-11-2016","11,443.72","11,443.72","11,443.72","11,443.72","","-0.32%"
"02-11-2016","11,479.94","11,479.94","11,479.94","11,479.94","","-1.30%"
"01-11-2016","11,631.33","11,631.33","11,631.33","11,631.33","","0.03%"
"30-10-2016","11,628.32","11,628.32","11,628.32","11,628.32","","-0.14%"
"28-10-2016","11,644.89","11,644.89","11,644.89","11,644.89","","0.26%"
"27-10-2016","11,614.18","11,614.18","11,614.18","11,614.18","","0.01%"
"26-10-2016","11,612.99","11,612.99","11,612.99","11,612.99","","-0.87%"
"25-10-2016","11,715.45","11,715.45","11,715.45","11,715.45","","-0.20%"
"24-10-2016","11,739.24","11,739.24","11,739.24","11,739.24","","0.19%"
"21-10-2016","11,716.57","11,716.57","11,716.57","11,716.57","","0.00%"
"20-10-2016","11,717.04","11,717.04","11,717.04","11,717.04","","0.46%"
"19-10-2016","11,662.81","11,662.81","11,662.81","11,662.81","","-0.22%"
"18-10-2016","11,688.13","11,688.13","11,688.13","11,688.13","","1.85%"
"17-10-2016","11,475.97","11,475.97","11,475.97","11,475.97","","-0.73%"
"14-10-2016","11,560.81","11,560.81","11,560.81","11,560.81","","0.12%"
"13-10-2016","11,547.30","11,547.30","11,547.30","11,547.30","","-1.56%"
"10-10-2016","11,729.75","11,729.75","11,729.75","11,729.75","","0.13%"
"07-10-2016","11,714.65","11,714.65","11,714.65","11,714.65","","-0.14%"
"06-10-2016","11,730.75","11,730.75","11,730.75","11,730.75","","-0.39%"
"05-10-2016","11,777.10","11,777.10","11,777.10","11,777.10","","-0.29%"
"04-10-2016","11,811.04","11,811.04","11,811.04","11,811.04","","0.36%"
"03-10-2016","11,769.16","11,769.16","11,769.16","11,769.16","","1.47%"
"30-09-2016","11,598.22","11,598.22","11,598.22","11,598.22","","0.23%"
"29-09-2016","11,571.40","11,571.40","11,571.40","11,571.40","","-1.76%"
"28-09-2016","11,778.71","11,778.71","11,778.71","11,778.71","","0.45%"
"27-09-2016","11,726.49","11,726.49","11,726.49","11,726.49","","-0.19%"
"26-09-2016","11,748.91","11,748.91","11,748.91","11,748.91","","-1.23%"
"23-09-2016","11,895.07","11,895.07","11,895.07","11,895.07","","-0.40%"
"22-09-2016","11,943.44","11,943.44","11,943.44","11,943.44","","1.03%"
"21-09-2016","11,821.52","11,821.52","11,821.52","11,821.52","","0.01%"
"20-09-2016","11,819.83","11,819.83","11,819.83","11,819.83","","-0.37%"
"19-09-2016","11,863.61","11,863.61","11,863.61","11,863.61","","0.33%"
"16-09-2016","11,825.12","11,825.12","11,825.12","11,825.12","","0.43%"
"15-09-2016","11,774.90","11,774.90","11,774.90","11,774.90","","0.20%"
"14-09-2016","11,751.93","11,751.93","11,751.93","11,751.93","","0.13%"
"12-09-2016","11,737.00","11,737.00","11,737.00","11,737.00","","-1.70%"
"09-09-2016","11,940.12","11,940.12","11,940.12","11,940.12","","-0.96%"
"08-09-2016","12,055.60","12,055.60","12,055.60","12,055.60","","0.42%"
"07-09-2016","12,005.43","12,005.43","12,005.43","12,005.43","","-0.27%"
"06-09-2016","12,037.72","12,037.72","12,037.72","12,037.72","","1.52%"
"02-09-2016","11,857.76","11,857.76","11,857.76","11,857.76","","0.40%"
"01-09-2016","11,810.69","11,810.69","11,810.69","11,810.69","","-0.13%"
"31-08-2016","11,826.19","11,826.19","11,826.19","11,826.19","","0.51%"
"30-08-2016","11,766.04","11,766.04","11,766.04","11,766.04","","1.59%"
"29-08-2016","11,581.83","11,581.83","11,581.83","11,581.83","","0.41%"
"26-08-2016","11,534.92","11,534.92","11,534.92","11,534.92","","-0.23%"
"25-08-2016","11,561.34","11,561.34","11,561.34","11,561.34","","-0.67%"
"24-08-2016","11,639.48","11,639.48","11,639.48","11,639.48","","0.20%"
"23-08-2016","11,615.70","11,615.70","11,615.70","11,615.70","","0.04%"
"22-08-2016","11,611.02","11,611.02","11,611.02","11,611.02","","-0.44%"
"19-08-2016","11,661.82","11,661.82","11,661.82","11,661.82","","-0.07%"
"18-08-2016","11,670.37","11,670.37","11,670.37","11,670.37","","0.62%"
"17-08-2016","11,598.72","11,598.72","11,598.72","11,598.72","","-0.21%"
"16-08-2016","11,623.61","11,623.61","11,623.61","11,623.61","","-0.34%"
"12-08-2016","11,663.43","11,663.43","11,663.43","11,663.43","","0.93%"
"11-08-2016","11,555.84","11,555.84","11,555.84","11,555.84","","0.20%"
"10-08-2016","11,532.49","11,532.49","11,532.49","11,532.49","","-1.18%"
"09-08-2016","11,669.70","11,669.70","11,669.70","11,669.70","","-0.37%"
"08-08-2016","11,713.58","11,713.58","11,713.58","11,713.58","","0.32%"
"05-08-2016","11,675.68","11,675.68","11,675.68","11,675.68","","1.54%"
"04-08-2016","11,498.13","11,498.13","11,498.13","11,498.13","","0.07%"
"03-08-2016","11,489.74","11,489.74","11,489.74","11,489.74","","-0.90%"
"02-08-2016","11,594.65","11,594.65","11,594.65","11,594.65","","-0.15%"
"01-08-2016","11,612.19","11,612.19","11,612.19","11,612.19","","-0.02%"
"29-07-2016","11,614.80","11,614.80","11,614.80","11,614.80","","-0.32%"
"28-07-2016","11,652.18","11,652.18","11,652.18","11,652.18","","0.63%"
"27-07-2016","11,579.64","11,579.64","11,579.64","11,579.64","","0.29%"
"26-07-2016","11,545.78","11,545.78","11,545.78","11,545.78","","-0.52%"
"25-07-2016","11,606.29","11,606.29","11,606.29","11,606.29","","1.12%"
"22-07-2016","11,477.47","11,477.47","11,477.47","11,477.47","","0.37%"
"21-07-2016","11,435.64","11,435.64","11,435.64","11,435.64","","-0.63%"
"20-07-2016","11,508.07","11,508.07","11,508.07","11,508.07","","0.44%"
"19-07-2016","11,457.95","11,457.95","11,457.95","11,457.95","","0.23%"
"18-07-2016","11,431.25","11,431.25","11,431.25","11,431.25","","-0.37%"
"15-07-2016","11,474.04","11,474.04","11,474.04","11,474.04","","-0.21%"
"14-07-2016","11,497.65","11,497.65","11,497.65","11,497.65","","0.54%"
"13-07-2016","11,436.09","11,436.09","11,436.09","11,436.09","","-0.02%"
"12-07-2016","11,438.19","11,438.19","11,438.19","11,438.19","","0.63%"
"11-07-2016","11,366.82","11,366.82","11,366.82","11,366.82","","1.74%"
"08-07-2016","11,172.39","11,172.39","11,172.39","11,172.39","","-0.18%"
"07-07-2016","11,192.11","11,192.11","11,192.11","11,192.11","","0.05%"
"05-07-2016","11,186.41","11,186.41","11,186.41","11,186.41","","-0.42%"
"04-07-2016","11,233.09","11,233.09","11,233.09","11,233.09","","0.51%"
"01-07-2016","11,175.85","11,175.85","11,175.85","11,175.85","","0.49%"
"30-06-2016","11,121.39","11,121.39","11,121.39","11,121.39","","1.02%"
"29-06-2016","11,009.02","11,009.02","11,009.02","11,009.02","","1.00%"
"28-06-2016","10,899.91","10,899.91","10,899.91","10,899.91","","0.41%"
"27-06-2016","10,855.50","10,855.50","10,855.50","10,855.50","","0.08%"
"24-06-2016","10,847.29","10,847.29","10,847.29","10,847.29","","-2.20%"
"23-06-2016","11,091.16","11,091.16","11,091.16","11,091.16","","0.82%"
"22-06-2016","11,000.82","11,000.82","11,000.82","11,000.82","","-0.18%"
"21-06-2016","11,020.11","11,020.11","11,020.11","11,020.11","","-0.23%"
"20-06-2016","11,045.03","11,045.03","11,045.03","11,045.03","","0.84%"
"17-06-2016","10,953.44","10,953.44","10,953.44","10,953.44","","0.36%"
"16-06-2016","10,913.97","10,913.97","10,913.97","10,913.97","","-0.70%"
"15-06-2016","10,990.64","10,990.64","10,990.64","10,990.64","","1.21%"
"14-06-2016","10,859.76","10,859.76","10,859.76","10,859.76","","-0.02%"
"13-06-2016","10,862.06","10,862.06","10,862.06","10,862.06","","-0.73%"
"10-06-2016","10,941.70","10,941.70","10,941.70","10,941.70","","-0.41%"
"09-06-2016","10,986.64","10,986.64","10,986.64","10,986.64","","-0.74%"
"08-06-2016","11,068.75","11,068.75","11,068.75","11,068.75","","0.08%"
"07-06-2016","11,059.93","11,059.93","11,059.93","11,059.93","","0.80%"
"06-06-2016","10,972.45","10,972.45","10,972.45","10,972.45","","-0.18%"
"03-06-2016","10,992.21","10,992.21","10,992.21","10,992.21","","0.05%"
"02-06-2016","10,986.77","10,986.77","10,986.77","10,986.77","","0.48%"
"01-06-2016","10,934.62","10,934.62","10,934.62","10,934.62","","0.24%"
"31-05-2016","10,908.07","10,908.07","10,908.07","10,908.07","","-0.23%"
"30-05-2016","10,932.70","10,932.70","10,932.70","10,932.70","","0.44%"
"27-05-2016","10,884.88","10,884.88","10,884.88","10,884.88","","1.08%"
"26-05-2016","10,768.78","10,768.78","10,768.78","10,768.78","","1.70%"
"25-05-2016","10,588.92","10,588.92","10,588.92","10,588.92","","2.40%"
"24-05-2016","10,340.65","10,340.65","10,340.65","10,340.65","","0.23%"
"23-05-2016","10,316.91","10,316.91","10,316.91","10,316.91","","-0.24%"
"20-05-2016","10,341.79","10,341.79","10,341.79","10,341.79","","-0.43%"
"19-05-2016","10,386.75","10,386.75","10,386.75","10,386.75","","-1.10%"
"18-05-2016","10,502.51","10,502.51","10,502.51","10,502.51","","-0.26%"
"17-05-2016","10,530.03","10,530.03","10,530.03","10,530.03","","0.38%"
"16-05-2016","10,489.97","10,489.97","10,489.97","10,489.97","","0.59%"
"13-05-2016","10,428.78","10,428.78","10,428.78","10,428.78","","-1.08%"
"12-05-2016","10,542.93","10,542.93","10,542.93","10,542.93","","0.66%"
"11-05-2016","10,474.10","10,474.10","10,474.10","10,474.10","","-0.49%"
"10-05-2016","10,526.11","10,526.11","10,526.11","10,526.11","","0.28%"
"09-05-2016","10,497.09","10,497.09","10,497.09","10,497.09","","1.71%"
"06-05-2016","10,320.12","10,320.12","10,320.12","10,320.12","","-0.03%"
"05-05-2016","10,322.82","10,322.82","10,322.82","10,322.82","","0.39%"
"04-05-2016","10,283.01","10,283.01","10,283.01","10,283.01","","-0.52%"
"03-05-2016","10,336.97","10,336.97","10,336.97","10,336.97","","-0.75%"
"02-05-2016","10,415.52","10,415.52","10,415.52","10,415.52","","-0.56%"
"29-04-2016","10,474.15","10,474.15","10,474.15","10,474.15","","0.03%"
"28-04-2016","10,470.71","10,470.71","10,470.71","10,470.71","","-1.66%"
"27-04-2016","10,647.74","10,647.74","10,647.74","10,647.74","","0.22%"
"26-04-2016","10,624.72","10,624.72","10,624.72","10,624.72","","1.37%"
"25-04-2016","10,481.12","10,481.12","10,481.12","10,481.12","","-0.56%"
"22-04-2016","10,540.19","10,540.19","10,540.19","10,540.19","","-0.16%"
"21-04-2016","10,557.22","10,557.22","10,557.22","10,557.22","","-0.03%"
"20-04-2016","10,560.79","10,560.79","10,560.79","10,560.79","","0.00%"
"18-04-2016","10,560.74","10,560.74","10,560.74","10,560.74","","0.82%"
"13-04-2016","10,475.02","10,475.02","10,475.02","10,475.02","","1.84%"
"12-04-2016","10,286.18","10,286.18","10,286.18","10,286.18","","0.49%"
"11-04-2016","10,236.11","10,236.11","10,236.11","10,236.11","","1.54%"
"08-04-2016","10,081.01","10,081.01","10,081.01","10,081.01","","0.12%"
"07-04-2016","10,069.36","10,069.36","10,069.36","10,069.36","","-0.89%"
"06-04-2016","10,159.98","10,159.98","10,159.98","10,159.98","","0.15%"
"05-04-2016","10,145.10","10,145.10","10,145.10","10,145.10","","-2.01%"
"04-04-2016","10,352.69","10,352.69","10,352.69","10,352.69","","0.59%"
"01-04-2016","10,291.69","10,291.69","10,291.69","10,291.69","","-0.33%"
"31-03-2016","10,325.50","10,325.50","10,325.50","10,325.50","","0.04%"
"30-03-2016","10,321.20","10,321.20","10,321.20","10,321.20","","1.83%"
"29-03-2016","10,135.49","10,135.49","10,135.49","10,135.49","","-0.24%"
"28-03-2016","10,159.66","10,159.66","10,159.66","10,159.66","","-1.31%"
"23-03-2016","10,294.93","10,294.93","10,294.93","10,294.93","","0.02%"
"22-03-2016","10,292.77","10,292.77","10,292.77","10,292.77","","0.14%"
"21-03-2016","10,278.30","10,278.30","10,278.30","10,278.30","","1.33%"
"18-03-2016","10,143.60","10,143.60","10,143.60","10,143.60","","1.22%"
"17-03-2016","10,021.13","10,021.13","10,021.13","10,021.13","","0.23%"
"16-03-2016","9,997.90","9,997.90","9,997.90","9,997.90","","0.53%"
"15-03-2016","9,944.76","9,944.76","9,944.76","9,944.76","","-1.04%"
"14-03-2016","10,048.89","10,048.89","10,048.89","10,048.89","","0.48%"
"11-03-2016","10,001.18","10,001.18","10,001.18","10,001.18","","0.32%"
"10-03-2016","9,969.15","9,969.15","9,969.15","9,969.15","","-0.61%"
"09-03-2016","10,029.96","10,029.96","10,029.96","10,029.96","","0.62%"
"08-03-2016","9,967.99","9,967.99","9,967.99","9,967.99","","0.00%"
"04-03-2016","9,968.09","9,968.09","9,968.09","9,968.09","","0.13%"
"03-03-2016","9,955.10","9,955.10","9,955.10","9,955.10","","1.45%"
"02-03-2016","9,812.68","9,812.68","9,812.68","9,812.68","","2.03%"
"01-03-2016","9,617.51","9,617.51","9,617.51","9,617.51","","3.37%"
"29-02-2016","9,304.26","9,304.26","9,304.26","9,304.26","","-0.61%"
"26-02-2016","9,361.10","9,361.10","9,361.10","9,361.10","","0.85%"
"25-02-2016","9,282.38","9,282.38","9,282.38","9,282.38","","-0.68%"
"24-02-2016","9,346.39","9,346.39","9,346.39","9,346.39","","-1.28%"
"23-02-2016","9,467.41","9,467.41","9,467.41","9,467.41","","-1.73%"
"22-02-2016","9,633.83","9,633.83","9,633.83","9,633.83","","0.33%"
"19-02-2016","9,601.77","9,601.77","9,601.77","9,601.77","","0.26%"
"18-02-2016","9,576.46","9,576.46","9,576.46","9,576.46","","1.17%"
"17-02-2016","9,465.52","9,465.52","9,465.52","9,465.52","","0.85%"
"16-02-2016","9,385.36","9,385.36","9,385.36","9,385.36","","-1.60%"
"15-02-2016","9,537.74","9,537.74","9,537.74","9,537.74","","2.61%"
"12-02-2016","9,295.41","9,295.41","9,295.41","9,295.41","","0.07%"
"11-02-2016","9,289.29","9,289.29","9,289.29","9,289.29","","-3.32%"
"10-02-2016","9,607.98","9,607.98","9,607.98","9,607.98","","-1.13%"
"09-02-2016","9,717.87","9,717.87","9,717.87","9,717.87","","-1.21%"
"08-02-2016","9,836.41","9,836.41","9,836.41","9,836.41","","-1.36%"
"05-02-2016","9,972.05","9,972.05","9,972.05","9,972.05","","1.16%"
"04-02-2016","9,857.82","9,857.82","9,857.82","9,857.82","","0.57%"
"03-02-2016","9,801.62","9,801.62","9,801.62","9,801.62","","-1.25%"
"02-02-2016","9,925.98","9,925.98","9,925.98","9,925.98","","-1.32%"
"01-02-2016","10,058.69","10,058.69","10,058.69","10,058.69","","-0.10%"
"29-01-2016","10,068.86","10,068.86","10,068.86","10,068.86","","1.87%"
"28-01-2016","9,883.94","9,883.94","9,883.94","9,883.94","","-0.18%"
"27-01-2016","9,901.35","9,901.35","9,901.35","9,901.35","","0.03%"
"25-01-2016","9,898.28","9,898.28","9,898.28","9,898.28","","0.19%"
"22-01-2016","9,879.13","9,879.13","9,879.13","9,879.13","","2.00%"
"21-01-2016","9,685.29","9,685.29","9,685.29","9,685.29","","-0.44%"
"20-01-2016","9,727.77","9,727.77","9,727.77","9,727.77","","-1.69%"
"19-01-2016","9,895.18","9,895.18","9,895.18","9,895.18","","1.14%"
"18-01-2016","9,783.26","9,783.26","9,783.26","9,783.26","","-1.17%"
"15-01-2016","9,898.80","9,898.80","9,898.80","9,898.80","","-1.31%"
"14-01-2016","10,030.53","10,030.53","10,030.53","10,030.53","","-0.34%"
"13-01-2016","10,064.62","10,064.62","10,064.62","10,064.62","","0.69%"
"12-01-2016","9,995.25","9,995.25","9,995.25","9,995.25","","-0.71%"
"11-01-2016","10,066.57","10,066.57","10,066.57","10,066.57","","-0.49%"
"08-01-2016","10,116.45","10,116.45","10,116.45","10,116.45","","0.44%"
"07-01-2016","10,072.45","10,072.45","10,072.45","10,072.45","","-2.23%"
"06-01-2016","10,302.32","10,302.32","10,302.32","10,302.32","","-0.56%"
"05-01-2016","10,360.42","10,360.42","10,360.42","10,360.42","","-0.09%"
"04-01-2016","10,369.24","10,369.24","10,369.24","10,369.24","","-2.16%"
"01-01-2016","10,598.00","10,598.00","10,598.00","10,598.00","","0.21%"
"31-12-2015","10,575.63","10,575.63","10,575.63","10,575.63","","0.63%"
"30-12-2015","10,508.91","10,508.91","10,508.91","10,508.91","","-0.41%"
"29-12-2015","10,552.46","10,552.46","10,552.46","10,552.46","","0.05%"
"28-12-2015","10,547.37","10,547.37","10,547.37","10,547.37","","0.82%"
"24-12-2015","10,462.08","10,462.08","10,462.08","10,462.08","","-0.06%"
"23-12-2015","10,468.61","10,468.61","10,468.61","10,468.61","","1.03%"
"22-12-2015","10,362.35","10,362.35","10,362.35","10,362.35","","-0.62%"
"21-12-2015","10,426.69","10,426.69","10,426.69","10,426.69","","0.93%"
"18-12-2015","10,330.16","10,330.16","10,330.16","10,330.16","","-1.05%"
"17-12-2015","10,439.83","10,439.83","10,439.83","10,439.83","","1.21%"
"16-12-2015","10,315.45","10,315.45","10,315.45","10,315.45","","0.65%"
"15-12-2015","10,248.91","10,248.91","10,248.91","10,248.91","","0.66%"
"14-12-2015","10,181.25","10,181.25","10,181.25","10,181.25","","0.52%"
"11-12-2015","10,128.57","10,128.57","10,128.57","10,128.57","","-0.95%"
"10-12-2015","10,225.54","10,225.54","10,225.54","10,225.54","","0.93%"
"09-12-2015","10,131.26","10,131.26","10,131.26","10,131.26","","-1.16%"
"08-12-2015","10,250.03","10,250.03","10,250.03","10,250.03","","-0.82%"
"07-12-2015","10,334.77","10,334.77","10,334.77","10,334.77","","-0.21%"
"04-12-2015","10,356.71","10,356.71","10,356.71","10,356.71","","-1.05%"
"03-12-2015","10,466.19","10,466.19","10,466.19","10,466.19","","-0.85%"
"02-12-2015","10,555.62","10,555.62","10,555.62","10,555.62","","-0.30%"
"01-12-2015","10,586.99","10,586.99","10,586.99","10,586.99","","0.25%"
"30-11-2015","10,560.84","10,560.84","10,560.84","10,560.84","","-0.09%"
"27-11-2015","10,570.76","10,570.76","10,570.76","10,570.76","","0.75%"
