"Date","Price","Open","High","Low","Vol.","Change %"
"17-03-2008","5,775.57","5,775.57","5,775.57","5,775.57","","0.00%"
"14-03-2008","5,775.57","5,775.57","5,775.57","5,775.57","","2.64%"
"13-03-2008","5,626.82","5,626.82","5,626.82","5,626.82","","-5.10%"
"12-03-2008","5,929.12","5,929.12","5,929.12","5,929.12","","0.13%"
"11-03-2008","5,921.71","5,921.71","5,921.71","5,921.71","","1.36%"
"10-03-2008","5,842.02","5,842.02","5,842.02","5,842.02","","0.60%"
"07-03-2008","5,806.95","5,806.95","5,806.95","5,806.95","","-3.04%"
"05-03-2008","5,989.23","5,989.23","5,989.23","5,989.23","","1.17%"
"04-03-2008","5,919.69","5,919.69","5,919.69","5,919.69","","-1.79%"
"03-03-2008","6,027.69","6,027.69","6,027.69","6,027.69","","-5.18%"
"29-02-2008","6,356.92","6,356.92","6,356.92","6,356.92","","-1.17%"
"28-02-2008","6,431.87","6,431.87","6,431.87","6,431.87","","0.32%"
"27-02-2008","6,411.53","6,411.53","6,411.53","6,411.53","","-0.03%"
"26-02-2008","6,413.55","6,413.55","6,413.55","6,413.55","","1.33%"
"25-02-2008","6,329.13","6,329.13","6,329.13","6,329.13","","1.76%"
"22-02-2008","6,219.66","6,219.66","6,219.66","6,219.66","","-1.56%"
"21-02-2008","6,318.30","6,318.30","6,318.30","6,318.30","","0.72%"
"20-02-2008","6,272.88","6,272.88","6,272.88","6,272.88","","-2.39%"
"19-02-2008","6,426.66","6,426.66","6,426.66","6,426.66","","0.07%"
"18-02-2008","6,421.91","6,421.91","6,421.91","6,421.91","","-0.49%"
"15-02-2008","6,453.55","6,453.55","6,453.55","6,453.55","","1.94%"
"14-02-2008","6,330.73","6,330.73","6,330.73","6,330.73","","5.53%"
"13-02-2008","5,998.76","5,998.76","5,998.76","5,998.76","","1.91%"
"12-02-2008","5,886.53","5,886.53","5,886.53","5,886.53","","-0.39%"
"11-02-2008","5,909.35","5,909.35","5,909.35","5,909.35","","-5.14%"
"08-02-2008","6,229.73","6,229.73","6,229.73","6,229.73","","-0.25%"
