date,market
19/03/2003,1300.89
20/03/2003,1319.53
21/03/2003,1330.02
24/03/2003,1315.94
25/03/2003,1313.43
26/03/2003,1312.06
27/03/2003,1308.54
28/03/2003,1299.17
31/03/2003,1259.54
01/04/2003,1270.43
02/04/2003,1297.91
03/04/2003,1316.98
04/04/2003,1342.98
07/04/2003,1364.29
08/04/2003,1362.37
09/04/2003,1346.25
10/04/2003,1316.45
11/04/2003,1316.8
15/04/2003,1318.08
16/04/2003,1322.79
17/04/2003,1316.03
21/04/2003,1330.69
22/04/2003,1329.41
23/04/2003,1314.75
24/04/2003,1316.89
25/04/2003,1320.99
28/04/2003,1343.59
29/04/2003,1330.97
30/04/2003,1339.74
02/05/2003,1365.04
05/05/2003,1396.32
06/05/2003,1406.92
07/05/2003,1397.68
08/05/2003,1389.85
09/05/2003,1403.21
12/05/2003,1441.89
13/05/2003,1452.83
14/05/2003,1485.9
15/05/2003,1504.03
16/05/2003,1497.89
19/05/2003,1486.43
20/05/2003,1507.32
21/05/2003,1542.61
22/05/2003,1563.88
23/05/2003,1579.23
26/05/2003,1609.4
27/05/2003,1591.67
28/05/2003,1633.98
29/05/2003,1666.31
30/05/2003,1664.16
02/06/2003,1612.78
03/06/2003,1638.9
04/06/2003,1654.73
05/06/2003,1644.29
06/06/2003,1636.52
09/06/2003,1671.46
10/06/2003,1620.71
11/06/2003,1647.7
12/06/2003,1660.22
13/06/2003,1653.02
16/06/2003,1636.47
17/06/2003,1672.02
18/06/2003,1670.99
19/06/2003,1705.43
20/06/2003,1723.37
23/06/2003,1730.31
24/06/2003,1737.66
25/06/2003,1756.93
26/06/2003,1755.08
27/06/2003,1768.7
30/06/2003,1783.71
01/07/2003,1803.35
02/07/2003,1832.83
03/07/2003,1866.81
04/07/2003,1867.73
07/07/2003,1899.95
08/07/2003,1887.41
09/07/2003,1859.67
10/07/2003,1889.89
11/07/2003,1904.17
14/07/2003,1939.69
15/07/2003,1925.15
16/07/2003,1980.26
17/07/2003,1940.9
18/07/2003,1924.31
21/07/2003,1901.85
22/07/2003,1868.53
23/07/2003,1883.78
24/07/2003,1911.95
25/07/2003,1961.16
28/07/2003,1982.56
29/07/2003,1993.37
30/07/2003,2038.08
31/07/2003,2012.29
01/08/2003,2020.45
04/08/2003,2028.4
05/08/2003,1992.79
06/08/2003,1969.77
07/08/2003,2008.79
08/08/2003,2030.48
11/08/2003,2042.5
12/08/2003,2034.3
13/08/2003,2041.28
14/08/2003,2053.85
18/08/2003,2114.21
19/08/2003,2116.19
20/08/2003,2133
21/08/2003,2153.52
22/08/2003,2153.27
25/08/2003,2087.08
26/08/2003,2179.8
27/08/2003,2249.87
28/08/2003,2266.14
29/08/2003,2275.23
01/09/2003,2287.51
02/09/2003,2291.79
03/09/2003,2241.31
04/09/2003,2241.07
05/09/2003,2262.23
